airbnb_listing_id,url,ad_name,ad_description,space,house_rules,amenities,safety_features,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude_x,longitude_x,check_in,check_out,number_of_guests,number_of_reviews,cleaning_fee,owner_id,aquisition_date,star_rating,picture_count,min_nights,guest_satisfaction_overall,listing_type,can_instant_book,is_professional,accuracy_rating,checkin_rating,cleanliness_rating,communication_rating,location_rating,value_rating,is_new_listing,is_guest_favorite,suburb,latitude_y,longitude_y,dist_praia_km,is_superhost,years_host,number_of_reviews_host,adr_vendidas,adr_ofertadas,ocupacao,pickup_13d,adr_fallback,adr,revpan,receita_77n,quartos,faixa_quartos,compacto
991407580891691701,https://www.airbnb.com.br/rooms/991407580891691701,Apto em otima localização em Meia Praia EIO6031,"Este espaçoso apto é perfeito para família ou grupos de amigos que desejam desfrutar de uma estadia confortável em uma ótima região na Meia Praia.<br /><br />Com localização privilegiada, você vai ficar a poucos metros da praia e também de restaurantes, mercados e bares.<br /><br />A sala de estar é ampla, varanda com churrasqueira, cozinha completa e bem equipada e os três quartos são confortáveis e perfeitos para repor o sono após a agitação do dia. Venha relaxar e curtir momentos inesquecíveis pertinho da praia.<br /><br />","<br />Para o conforto de nossos hóspedes, o imóvel possui:<br /><br />- Ambientes integrados, espaçosos e bem iluminados;<br />- 1 suíte com cama casal, ar-condicionado e armário;<br />- 1 demi-suíte com cama de casal, cômoda; ( nesse quarto tem uma porta para acesso ao banheiro social )<br />- 1 quarto com cama de casal, armário, cômoda e ar-condicionado;<br />- Sala de estar com sofá, poltrona, rack, TV, mesa de jantar com 6 lugares;<br /><br />- Varanda com churrasqueira e mesa;<br />- Cozinha completa com geladeira, fogão, micro-ondas, sanduicheira, liquidificador, chaleira elétrica, e demais utensílios;<br />- 1 banheiro social;<br />- Área de serviço com máquina de lavar e varal;<br />- Wi-fi 30mb disponível;<br />- 1 vaga de garagem coberta. (comporta caminhonete, tamanho 3x2)<br /><br /><br /><br />OBS: Informamos que há uma obra em andamento no prédio, sem previsão de término.<br /><br />* São disponibilizadas uma toalha de banho por hóspede e uma toalha de rosto por banheiro, além de lençóis para a quantidade de hóspedes indicada, trocas de enxoval podem ser solicitadas ao valor de meia taxa de limpeza.<br /><br />* A limpeza inclusa no valor é realizada somente no checkout. Se o hóspede desejar uma limpeza extra durante a estadia, será cobrada uma nova taxa de limpeza.<br /><br />IMPORTANTE: Para check-in após as 20h há cobrança adicional de taxa de conveniência, consulte valores e formas de pagamento com o anfitrião :)<br /><br />Venha, relaxe, divirta-se e não se preocupe com mais nada :)<br /><br />","[""Máximo de 6 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Secador de cabelo"", ""Água quente"", ""Máquina de Lavar"", ""Básico"", ""Cabides"", ""Roupa de cama"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Louças e talheres"", ""Fogão"", ""Forno"", ""Cafeteira: cafeteira com coador"", ""Taças de vinho"", ""Torradeira"", ""Assadeira"", ""Liquidificador"", ""Mesa de jantar"", ""Acesso à praia compartilhado"", ""Pátio ou varanda (Privativa)"", ""Churrasqueira"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Elevador"", ""O anfitrião recebe você""]","[""Não há alarme de monóxido de carbono"", ""Não há alarme de fumaça""]",2.0,3,3,0.0,0.0,Check-in: 15:00 - 20:00,Checkout antes das 11:00,6,11,439.0,227777128,2025-01-13 02:58:40.000,4.550000190734863,29,0,4,apartamento,True,True,4.909999847412109,5.0,4.639999866485596,4.820000171661377,4.909999847412109,4.449999809265137,False,False,Meia Praia,-27.131999969482425,-48.59999847412109,0.408,False,6,41299.0,715.0,627.0,0.4675324675324676,0.2264150943396226,False,715.0,334.28571428571433,25740.000000000004,3,3 quartos,False
41193865,https://www.airbnb.com.br/rooms/41193865,Apê 150m do mar. Com ar-condicionado.,"Apartamento aconchegante para até 7 pessoas, com 1 suíte equipada com ar-condicionado de 12.000 BTUs, 1 quarto com ar-condicionado de 9.000 BTUs e 1 quarto com ventilador de teto. <br /><br />Conta com banheiro, ampla cozinha integrada à lavanderia, sala de estar com smart TV, Wi-Fi e ventilador de teto. <br /><br />A varanda fechada em vidro possui churrasqueira, ideal para momentos de lazer. <br /><br />Perfeito para quem busca conforto e praticidade!<br /><br />","<br />Apartamento com 3 Quartos no Melhor Bairro de Itapema/SC!<br /><br />Este incrível apartamento combina espaço, conforto e praticidade em uma localização privilegiada.<br /><br />Destaques do Imóvel:<br /><br />Ampla sala para dois ambientes (estar e jantar), integrada à sacada com churrasqueira, ideal para momentos com amigos e família.<br /><br />Cozinha completa, equipada com eletrodomésticos modernos, e área de serviço ventilada com máquina de lavar e tanque.<br /><br />Suíte espaçosa com guarda-roupas, ar-condicionado split de 12.000 BTUs e banheiro privativo.<br /><br />Segundo quarto bem iluminado, com guarda-roupas e ar-condicionado de 9.000 BTUs.<br /><br />Terceiro quarto confortável, com guarda-roupas e ventilador de teto.<br /><br />Características Adicionais:<br /><br />3 quartos, sendo 1 suíte;<br /><br />1 banheiro social;<br /><br />Lavanderia integrada;<br /><br />Sacada ampla com churrasqueira;<br /><br />1 vaga de garagem coberta;<br /><br />Localização:<br /><br />Localizado no coração de Itapema, em um bairro tranquilo e estratégico, próximo ao Burger King, Mc Donald’s, Academia Wave, entre outros.<br /><br />Se você procura um imóvel aconchegante, funcional e bem localizado para morar ou investir, este é o lugar perfeito. Agende sua visita e encante-se!<br /><br />","[""Máximo de 7 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Secador de cabelo"", ""Produtos de limpeza"", ""Máquina de Lavar"", ""Cabides"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Detector de fumaça"", ""Alarme de monóxido de carbono"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Freezer"", ""Fogão"", ""Forno"", ""Torradeira"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Acesso à praia (à beira-mar)"", ""Entrada privada"", ""Lavanderia nas proximidades"", ""Móveis externos"", ""Churrasqueira: a carvão"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Elevador"", ""Estadias de longa duração são permitidas"", ""Self check-in"", ""Fechadura inteligente"", ""Limpeza disponível durante a estadia""]","[""Detector de monóxido de carbono instalado"", ""Detector de fumaça instalado""]",2.0,3,4,0.0,0.0,Check-in após 14:00,Checkout antes das 12:00,7,46,250.0,311642729,2025-01-13 02:58:33.000,4.71999979019165,29,0,4,apartamento,False,False,4.71999979019165,4.849999904632568,4.630000114440918,4.829999923706055,4.829999923706055,4.670000076293945,False,False,Meia Praia,-27.13144,-48.60254,0.66,False,5,46.0,420.0,400.0,0.5324675324675325,0.3818181818181818,False,420.0,223.63636363636363,17220.0,3,3 quartos,False
45973790,https://www.airbnb.com.br/rooms/45973790,"50 metros da praia, em Meia praia",,"<br />Apartamento  de 02 quartos, a 50 metros da praia, pé na areia, . Espaço super arejado, com churrasqueira, duas sacadas com fechamento em Reiki. Localização perfeita, próximo a restaurantes, farmácias,  supermercados, comércio em geral. Excelente para desfrutar momentos agradáveis junto à família e ou amigos.<br /><br /><b>Outras observações</b><br />Não dispomos  de roupas de cama  e de banho, porém  dispomos de travesseiros","[""Máximo de 4 hóspedes"", ""Não é permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Máquina de Lavar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa e cômoda"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Fogão"", ""Forno"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Acesso à praia (à beira-mar)"", ""Churrasqueira"", ""Estacionamento gratuito na propriedade: 1 vaga""]","[""Não é adequado para bebês (menores de 2 anos)""]",2.0,2,3,0.0,0.0,Check-in: 14:00 - 20:00,Checkout antes das 09:00,4,12,380.0,145049953,2025-01-13 02:59:05.000,4.829999923706055,27,0,4,apartamento,False,False,4.670000076293945,4.829999923706055,4.920000076293945,4.909999847412109,4.829999923706055,4.579999923706055,False,False,Meia Praia,-27.14006,-48.5906,0.12,True,7,40.0,669.83335,660.0,0.0519480519480519,0.0519480519480519,False,669.83335,34.79653766233768,2679.3334000000013,2,2 quartos,False
1023885231203292759,https://www.airbnb.com.br/rooms/1023885231203292759,Flat Meia Praia - Itapema - 706,"✨ Infinity Tower Flat ✨<br /><br />📌 Rua 238, 315 ap 706, Meia Praia<br /><br />🛏️ 1 quarto com cama de casal <br /><br />- 1 Sofá Cama <br /><br />🚖 1 vaga de garagem<br /><br />- Muito próximo ao mar 🌊 <br /><br />- Com academia, piscina, playground infantil e área externa no condomínio;<br /><br />Capacidade para 4 pessoas (entre adultos e crianças)<br /><br />Taxa de Limpeza R$ 200,0",,"[""Máximo de 4 hóspedes"", ""Permitido animais de estimação"", ""Horário de silêncio"", ""Fotografia comercial permitida""]","[""Máquina de Lavar"", ""TV"", ""Equipamento ginástica"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Acesso à praia (à beira-mar)"", ""Estacionamento incluído"", ""Piscina"", ""Permitido animais""]","[""Piscina/banheira de hidromassagem sem grade de proteção ou fechadura"", ""Estrutura de escalada ou lazer""]",1.0,1,1,0.0,0.0,Check-in: 14:00 - 21:00,Checkout antes das 09:00,4,11,200.0,272771814,2025-01-13 02:58:22.000,5.0,22,0,5,apartamento,False,False,5.0,5.0,5.0,5.0,5.0,5.0,,True,Meia Praia,-27.12700080871582,-48.60499954223633,0.54,True,5,70.0,635.0,505.0,0.2727272727272727,0.1515151515151515,False,635.0,173.18181818181816,13334.999999999998,1,1 quarto,True
787847078680683474,https://www.airbnb.com.br/rooms/787847078680683474,“ Sua Casa Longe de Casa: Seu Refúgio Perfeito.,"Sol, Mar e sorrisos combinação perfeita pro ano todo!<br />Relaxe Com toda a família nesta acomodação tranquila e aconchegante.<br />Apartamento novo, com todos os eletrodomésticos e móveis novos.  <br />Próximo a praia central de Itapema .<br />Ao lado de mercado e farmácia.<br /><br />","<br />1 Suíte com ar condicionado.<br />1 Quarto com ar condicionado.<br />2 colchões de solteiro. <br />1 Banheiro social .<br />1 living  com sala de estar e jantar <br />Cozinha completa <br />Lavanderia com máquina de lavar e tanque.<br />Sacada com churrasqueira a carvão e  com fechamento de reike.<br />2 vaga de garagem no prédio.<br />Apartamento no 11° andar.<br />Wi-fi como cortesia.<br />Limite Máximo de 06 pessoas <br />Não é permitido Animais no Apartamento..<br />Mínimo para Reserva 7DD para o Réveillon demais datas favor nos consultar.<br />ATENÇÃO! <br />Se chegar para fazer o  checkin após as 19h  e precisar de atendimento de um corretor, será cobrada a taxa de R$100,00.<br />OBSERVAÇÕES! <br />1) Vagas de garagem: FAVOR CONSULTAR O TAMANHO DA GARAGEM PARA O SEU CARRO.<br />2) Em todos os imóveis, é COBRADA UMA TAXA ÚNICA DE LIMPEZA, SEM EXCEÇÃO.<br />3) OS APARTAMENTOS NÃO OFERECEM ROUPAS DE CAMA, BANHO E MESA.<br /><br />","[""Máximo de 6 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Vista para a praia"", ""Secador de cabelo"", ""Produtos de limpeza"", ""Sabonete para o corpo"", ""Chuveiro externo"", ""Água quente"", ""Máquina de lavar na acomodação por Gratuito"", ""Cabides"", ""Roupa de cama"", ""Cobertores e travesseiros extras"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV de 43 polegadas com Apple TV, TV a cabo"", ""Livros e material de leitura"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Extintor de incêndio"", ""Kit de primeiros socorros"", ""Wi-Fi rápido (582 Mbps)"", ""Cozinha"", ""Geladeira Electrolux "", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Fogão a gás Electrolux"", ""Forno de aço inoxidável"", ""Chaleira de água quente"", ""Cafeteira: cafeteira com coador"", ""Taças de vinho"", ""Torradeira"", ""Assadeira"", ""Liquidificador"", ""Lixeira compactadora"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Café"", ""Vista para as águas"", ""Acesso à praia compartilhado"", ""Entrada privada"", ""Itens básicos de praia"", ""Cadeira espreguiçadeira"", ""Estacionamento gratuito em garagem na propriedade: 2 vagas"", ""Estacionamento gratuito na rua"", ""Elevador"", ""Estadias de longa duração são permitidas""]","[""Não há alarme de monóxido de carbono"", ""Não há alarme de fumaça""]",2.0,2,2,0.0,0.0,Check-in: 16:00 - 20:00,Checkout antes das 09:00,6,6,300.0,491824858,2025-01-13 02:58:52.000,5.0,26,0,5,apartamento,False,False,5.0,5.0,5.0,5.0,5.0,5.0,,True,Tabuleiro dos Oliveiras,-27.1060009003,-48.6160011292,0.492,False,2,9.0,700.0,330.0,0.5064935064935066,0.05,False,700.0,354.54545454545456,27300.0,2,2 quartos,False
1184152596221501552,https://www.airbnb.com.br/rooms/1184152596221501552,Apto Charmoso apenas 280m da Praia - MHF0601,"Conheça este maravilhoso apartamento no Edifício Manhattan Flats, no centro de Itapema! Este refúgio oferece todo o conforto: sala com TV, cozinha completa, ar-condicionado, Wi-Fi e academia no prédio. Relaxe na piscina do terraço com vista para o mar, e aproveite a sala de jogos, sauna e lavanderia. Reserve o boliche e as churrasqueiras, ambos com taxa de uso. Próximo a ótimos restaurantes e a apenas 280 metros da praia. Reserve já e viva momentos inesquecíveis!<br /><br />","<br />Para o conforto de nossos hóspedes, o imóvel possui:<br />- 1 Quarto com cama de casal queen size, cortinas blackout, guarda-roupa, cômoda, Smart TV de tela plana e ar-condicionado;<br />- Sala de estar com sofá-cama de casal, cortinas blackout, Smart TV de tela plana e ar-condicionado;<br />- Cozinha completa com geladeira, cooktop de indução, forno elétrico, micro-ondas, sanduicheira, cafeteira elétrica, chaleira elétrica, taças de vinho, panelas, louças e utensílios;<br />- Espaço para jantar com mesa e 4 cadeiras;<br />- Roupas de cama e banho de qualidade hoteleira (roupas de cama e toalhas extras são cobrados pela Seazone);<br />- Wi-fi disponível;<br />- Boliche: reserva via app com taxa de uso R$254,16/hora;<br />- Churrasqueiras (1 da piscina e 2 do 5º andar): reserva via app com taxa de uso R$197,68/turno;<br />- Lavanderia: sem reserva, com taxa de uso da OMO;<br />- Piscina, Academia, Sala de jogos, Sauna: sem reserva e sem taxa de uso;<br />- OBS: Há obras no entorno e pode haver barulho durante horário comercial;<br />- Vista mar.<br />* A limpeza inclusa no valor é realizada somente no check-out. Se o hóspede desejar uma limpeza extra durante a estadia, será cobrada uma nova taxa de limpeza.<br />* São disponibilizadas uma toalha de banho por hóspede e uma toalha de rosto por banheiro, além de lençóis para a quantidade de hóspedes indicada. Trocas de enxoval podem ser solicitadas pelo valor de meia taxa de limpeza.<br />Venha, relaxe, divirta-se e não se preocupe com mais nada.<br /><br />","[""Máximo de 4 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Secador de cabelo"", ""Água quente"", ""Máquina de lavar no prédio por Pago"", ""Secadora"", ""Básico"", ""Cabides"", ""Roupa de cama"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas"", ""TV"", ""Mesa de bilhar"", ""Pista de boliche"", ""Jogos de tabuleiro"", ""Ar-condicionado"", ""Aquecimento"", ""Detector de fumaça"", ""Wi-Fi"", ""Espaço de trabalho exclusivo"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Fogão"", ""Forno"", ""Chaleira de água quente"", ""Cafeteira"", ""Taças de vinho"", ""Liquidificador"", ""Mesa de jantar"", ""Vista para as águas"", ""Churrasqueira"", ""Estacionamento incluído"", ""Piscina"", ""Sauna"", ""Elevador"", ""Academia"", ""O anfitrião recebe você""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça instalado""]",1.0,1,2,0.0,0.0,Check-in: 15:00 - 20:00,Checkout antes das 11:00,4,11,190.0,227777128,2025-01-13 02:58:27.000,4.820000171661377,0,0,4,apartamento,True,True,4.820000171661377,5.0,4.909999847412109,4.909999847412109,4.820000171661377,4.639999866485596,False,False,Centro,-27.0936893,-48.6131638,0.674,False,6,41299.0,628.5,607.0,0.2207792207792207,0.1147540983606557,False,628.5,138.75974025974023,10684.499999999998,1,1 quarto,True
822365439954007216,https://www.airbnb.com.br/rooms/822365439954007216,3 suítes próximo ao mar!,"O APARTAMENTO <br />3 suítes <br />2 vagas de garagem <br />Mobiliado <br />Sacada com churrasqueira <br />Vista para o mar<br />Cozinha toda equipada <br />Área de serviço <br />Lavabo <br />Sala de jantar e estar <br />Sala de Tv <br />Sacada com fechamento em vidro <br />Todos os ambientes climatizados<br />Roupas de cama<br />Toalhas de banho<br /><br /><b>Outras observações</b><br />Apartamento finamente mobiliado, bem<br />Localizado próximo ao mar, mercados e farmácia lojas tudo próximo, dar para ir caminhando para praia",,"[""Máximo de 8 hóspedes""]","[""Vista para a praia"", ""Máquina de Lavar"", ""Secadora"", ""TV"", ""Ar-condicionado"", ""Detector de fumaça"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Louças e talheres"", ""Churrasqueira"", ""Estacionamento incluído""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça instalado""]",3.0,3,3,0.0,0.0,,,8,15,350.0,500157182,2025-01-13 02:58:50.000,4.869999885559082,20,0,4,apartamento,True,False,5.0,4.929999828338623,5.0,5.0,4.929999828338623,4.929999828338623,,True,Meia Praia,-27.13599967956543,-48.5989990234375,0.624,True,1,15.0,950.0,520.0,0.4415584415584416,0.3064516129032258,False,950.0,419.4805194805195,32300.0,3,3 quartos,False
21280090,https://www.airbnb.com.br/rooms/21280090,"@aptropical completo na quadra do mar, suíte +2","Apartamento na quadra da praia à 200m do mar, próximo a churrascaria Costelaço do Tonho, uma das melhores de Itapema, além de diversas conveniências, padaria e lojas. Ampla sala com ar condicionado frio e quente, cervejeira, cozinha integrada  equipada. O apê tem 121m2 e garagem de 43m2, cabendo 2 carros pequenos.  Fica no 3º andar, em um prédio de 4 andares sem elevador. <br />Acesso à garagem por controle remoto. Apartamento foi utilizado como moradia habitual, portanto, é totalmente equipado.<br /><br />","<br />Esse apê já tem história, muitas reuniões familiares e de amigos passaram por aqui. Agora ele está renovado devido à uma bela reforma que fizemos em toda a área de cozinha/sala/sacada. Nossa cozinha foi pensada com todo carinho pra prover todo conforto na hora de preparar seus jantares ou almoços especiais.  <br />A mesa de jantar é uma bela mesa de sinuca também, é só retirar o tampo e brincar a vontade. <br />Temos filtro de água instalado (não precisa comprar galão).<br />Das 5 camas disponíveis, 3 são de colchão casal box. Das outras 2, uma é cama viúva colchão box, e a outra é cama auxiliar de solteiro.<br />Nos banheiros, chuveiros quentes.<br />As janelas do apto agora possuem rede de proteção, portanto é totalmente seguro para crianças e pets.<br /><br />","[""Máximo de 8 hóspedes"", ""Permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Fotografia comercial permitida"", ""Proibido fumar""]","[""Água quente"", ""Máquina de lavar na acomodação por Gratuito"", ""Básico"", ""Cabides"", ""Cobertores e travesseiros extras"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: cômoda"", ""Conexão à Ethernet"", ""TV de alta definição de 70 polegadas com Amazon Prime Video, Disney+, HBO Max, Netflix"", ""Equipamento para exercícios: tapete de ioga"", ""Mesa de bilhar"", ""Livros e material de leitura"", ""Livros e brinquedos infantis para crianças de 5 a 10 anos de idade"", ""Cadeira alta"", ""Jogos de tabuleiro"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Aquecimento"", ""Kit de primeiros socorros"", ""Wi-Fi rápido (501 Mbps)"", ""Cozinha"", ""Geladeira Samsung"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Frigobar"", ""Freezer"", ""Fogão a gás Esmaltec de aço inoxidável"", ""Forno Esmaltec de aço inoxidável"", ""Chaleira de água quente"", ""Taças de vinho"", ""Torradeira"", ""Assadeira"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Acesso à praia compartilhado"", ""Churrasqueira: a carvão"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Permitido animais"", ""É permitido deixar as malas"", ""Estadias de longa duração são permitidas"", ""Self check-in"", ""Cofre de chaves""]","[""Não é adequado para crianças ou bebês"", ""Local alto sem parapeito ou proteção""]",2.0,3,5,0.0,0.0,Check-in: 14:00 - 21:00,Checkout antes das 12:00,8,36,150.0,61447280,2025-01-13 02:58:47.000,5.0,37,0,5,apartamento,False,False,5.0,5.0,5.0,5.0,5.0,5.0,,True,Meia Praia,-27.13978,-48.59218,0.276,True,6,36.0,807.5,850.0,0.4415584415584416,0.0851063829787234,False,807.5,356.5584415584416,27455.000000000004,3,3 quartos,False
673825002694927178,https://www.airbnb.com.br/rooms/673825002694927178,Quadra mar 3 suítes temporada Meia Praia (AL138),"Relaxe com grande estilo em nosso apartamento de temporada 3 suítes climatizadas e uma incrível sacada com churrasqueira vista mar, em Meia Praia - Itapema. Localizado na quadra do mar e próximo ao Shopping Russi Russi, Mc donatls e com varias opções de lazer!<br /><br />","<br />Este espaçoso apartamento oferece 3 suítes equipadas com ar-condicionado, proporcionando um ambiente fresco e confortável para todos os hóspedes.<br /><br />A cozinha é moderna e totalmente equipada com microondas, geladeira, forno e utensílios essenciais para preparar suas refeições favoritas. Você pode desfrutar de uma vista incrível para o mar na sacada enquanto faz um churrasco e passa momentos inesquecíveis com sua família ou amigos.<br /><br />O apartamento está localizado em uma posição privilegiada entre o Shopping Russi Russi e o McDonald s, oferecendo fácil acesso a uma variedade de lojas, restaurantes e opções de entretenimento. Além disso, você estará a poucos passos da praia, o que permite aproveitar ainda mais a sua estadia.<br /><br />","[""Máximo de 8 hóspedes"", ""Permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Vista para a praia"", ""Vista para o oceano"", ""Máquina de Lavar"", ""Cabides"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Fogão"", ""Forno"", ""Chaleira de água quente"", ""Taças de vinho"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Vista para as águas"", ""Acesso à praia (à beira-mar)"", ""Lavanderia nas proximidades"", ""Churrasqueira"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Elevador"", ""Estacionamento pago fora da propriedade"", ""Permitido animais"", ""É permitido deixar as malas"", ""O anfitrião recebe você""]","[""Não há alarme de monóxido de carbono"", ""Não há alarme de fumaça""]",4.0,3,3,0.0,0.0,Check-in: 14:00 - 18:00,Checkout antes das 09:00,8,9,300.0,157399374,2025-01-13 02:58:50.000,5.0,24,0,5,apartamento,False,False,5.0,5.0,5.0,4.889999866485596,5.0,4.889999866485596,,True,Meia Praia,-27.12955,-48.60092,0.136,True,7,469.0,960.0,920.0,0.5974025974025974,0.2619047619047619,False,960.0,573.5064935064935,44160.0,3,3 quartos,False
15732070,https://www.airbnb.com.br/rooms/15732070,Apto de Luxo a 20 metros da praia.,"Lindo apartamento na quadra mar de 3 quartos com ar condicionado, sendo duas suítes(ar na sala também) para 6 pessoas.<br />Possui churrasqueira, todos eletrodomésticos necessários para aproveitar o local. <br />Acabamento de luxo em mobílias e decorações.<br />Área de serviço com máquina de lavar e secar.<br />Tv a cabo e Wifi.<br />Restaurantes e supermercados perto. <br />1 Vaga de Garagem privativa.<br /><br />",<br />Ambiente familiar e calmo,"[""Máximo de 6 hóspedes"", ""Não é permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Secador de cabelo"", ""Xampu"", ""Sabonete para o corpo"", ""Água quente"", ""Máquina de Lavar"", ""Secadora"", ""Básico"", ""Cabides"", ""Roupa de cama"", ""Cobertores e travesseiros extras"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV de alta definição de 55 polegadas com TV a cabo premium, TV a cabo, Netflix"", ""Cadeira alta"", ""Ar-condicionado"", ""Aquecimento"", ""Detector de fumaça"", ""Alarme de monóxido de carbono"", ""Extintor de incêndio"", ""Kit de primeiros socorros"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Freezer"", ""Lava-louças"", ""Fogão"", ""Forno"", ""Chaleira de água quente"", ""Cafeteira"", ""Torradeira"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Café"", ""Vista para as águas"", ""Acesso à praia compartilhado — à beira-mar"", ""Entrada privada"", ""Estacionamento incluído"", ""Estadias de longa duração são permitidas"", ""O anfitrião recebe você""]","[""Detector de monóxido de carbono instalado"", ""Detector de fumaça instalado""]",3.0,3,4,0.0,0.0,Check-in após 15:00,Checkout antes das 10:00,6,40,240.0,101640501,2025-01-13 02:21:23.000,4.949999809265137,17,0,4,apartamento,False,False,4.880000114440918,4.949999809265137,4.949999809265137,5.0,4.75,4.849999904632568,False,False,Meia Praia,-27.144,-48.587,0.209,True,8,105.0,790.0,790.0,0.5194805194805194,0.4126984126984127,False,790.0,410.3896103896104,31600.0,3,3 quartos,False
