bairro,faixa_quartos,n_airbnb,receita_77n,revpan,adr,ocupacao,n_venda,preco_pedido,area,preco_compra,condominio_ano,iptu_ano,cenario,receita_ano,noites_vendidas_ano,custo_limpeza,custo_variavel,custos_totais,noi,yield_bruto,yield_liquido
Centro,1 quarto,69,11049.999999999998,143.50649350649348,502.0,0.2987012987012987,22,890000.0,43.5,801000.0,2663.2653061224487,728.1804942172832,conservador (janela = 55% do ano),20090.909090909085,41.81818181818181,1568.181818181818,5223.636363636362,10183.263982157912,9907.645108751172,0.025082283509249792,0.012369095017167505
Centro,2 quartos,48,16091.5,208.9805194805195,768.75,0.3636363636363636,87,1100000.0,85.0,990000.0,5204.081632653061,899.9983636393388,conservador (janela = 55% do ano),29257.272727272724,50.9090909090909,1909.0909090909088,7606.890909090908,15620.061814474217,13637.210912798508,0.029552800734618915,0.01377496051797829
Centro,3 quartos,31,24320.0,315.84415584415586,825.0,0.3766233766233766,436,2100000.0,131.0,1890000.0,8020.408163265307,1718.1786942205558,conservador (janela = 55% do ano),44218.181818181816,52.72727272727272,1977.272727272727,11496.727272727272,23212.58685748586,21005.594960695955,0.023395863395863394,0.011114071407775638
Meia Praia,2 quartos,96,18084.0,234.85714285714286,554.75,0.4805194805194805,241,1070000.0,85.0,963000.0,5204.081632653061,875.4529537219023,conservador (janela = 55% do ano),32880.0,67.27272727272727,2522.7272727272725,8548.800000000001,17151.061859102236,15728.938140897764,0.034143302180685356,0.016333269097505466
Meia Praia,3 quartos,240,22064.0,286.54545454545456,750.0,0.4025974025974026,1670,1882459.0,129.0,1694213.1,7897.959183673469,1540.1909269255875,conservador (janela = 55% do ano),40116.36363636363,56.36363636363636,2113.6363636363635,10430.254545454545,21982.041019689965,18134.322616673668,0.023678463846350632,0.010703684569947941
Meia Praia,4+ quartos,31,27600.0,358.4415584415584,1200.0,0.4025974025974026,1377,3700000.0,190.0,3330000.0,11632.65306122449,3027.267223150503,conservador (janela = 55% do ano),50181.81818181818,56.36363636363636,2113.6363636363635,13047.272727272726,29820.82937528408,20360.988806534097,0.015069615069615069,0.006114411053013242
Morretes,2 quartos,37,12040.0,156.36363636363637,477.66666,0.3116883116883117,1237,750000.0,69.0,675000.0,4224.489795918367,613.6352479359128,conservador (janela = 55% do ano),21890.90909090909,43.63636363636363,1636.3636363636363,5691.636363636363,12166.125043854277,9724.78404705481,0.03243097643097643,0.014407087477118238
Centro,1 quarto,69,11049.999999999998,143.50649350649348,502.0,0.2987012987012987,22,890000.0,43.5,801000.0,2663.2653061224487,728.1804942172832,base (janela = 45% do ano),24555.55555555555,51.11111111111111,1916.6666666666665,6384.444444444443,11692.556911450842,12862.99864410471,0.030656124289083084,0.0160586749614291
Centro,2 quartos,48,16091.5,208.9805194805195,768.75,0.3636363636363636,87,1100000.0,85.0,990000.0,5204.081632653061,899.9983636393388,base (janela = 45% do ano),35758.88888888889,62.222222222222214,2333.333333333333,9297.311111111112,17734.724440736845,18024.164448152045,0.03612008978675645,0.018206226715305095
Centro,3 quartos,31,24320.0,315.84415584415586,825.0,0.3766233766233766,436,2100000.0,131.0,1890000.0,8020.408163265307,1718.1786942205558,base (janela = 45% do ano),54044.444444444445,64.44444444444443,2416.666666666666,14051.555555555557,26206.809079708084,27837.63536473636,0.028594944150499707,0.014728907600389609
Meia Praia,2 quartos,96,18084.0,234.85714285714286,554.75,0.4805194805194805,241,1070000.0,85.0,963000.0,5204.081632653061,875.4529537219023,base (janela = 45% do ano),40186.666666666664,82.22222222222221,3083.333333333333,10448.533333333333,19611.40125304163,20575.265413625035,0.0417307026652821,0.02136580001414853
Meia Praia,3 quartos,240,22064.0,286.54545454545456,750.0,0.4025974025974026,1670,1882459.0,129.0,1694213.1,7897.959183673469,1540.1909269255875,base (janela = 45% do ano),49031.11111111111,68.88888888888889,2583.333333333333,12748.08888888889,24769.57233282128,24261.53877828983,0.02894034470109522,0.014320240339476674
Meia Praia,4+ quartos,31,27600.0,358.4415584415584,1200.0,0.4025974025974026,1377,3700000.0,190.0,3330000.0,11632.65306122449,3027.267223150503,base (janela = 45% do ano),61333.33333333333,68.88888888888889,2583.333333333333,15946.666666666666,33189.920284374995,28143.413048958333,0.018418418418418417,0.008451475390077578
Morretes,2 quartos,37,12040.0,156.36363636363637,477.66666,0.3116883116883117,1237,750000.0,69.0,675000.0,4224.489795918367,613.6352479359128,base (janela = 45% do ano),26755.555555555555,53.33333333333333,1999.9999999999998,6956.444444444444,13794.569488298723,12960.986067256832,0.03963786008230453,0.01920146084038049
Centro,1 quarto,69,11049.999999999998,143.50649350649348,502.0,0.2987012987012987,22,890000.0,43.5,801000.0,2663.2653061224487,728.1804942172832,otimista (janela = 35% do ano),31571.42857142857,65.71428571428572,2464.2857142857147,8208.571428571428,14064.302943196873,17507.125628231697,0.039415016943106826,0.021856586302411607
